,Hosp_1. RDE,Hosp_2. Torbay,Hosp_3. Plymouth,Hosp_4. Truro,Hosp_5. Barnstaple,Hosp_6. Yeovil,Hosp_7. Taunton,Male,Age,80+,Onset Time Known Type_BE,Onset Time Known Type_NK,Onset Time Known Type_P,# Comorbidities,2+ comorbidotes,Congestive HF,Hypertension,Atrial Fib,Diabetes,TIA,Co-mordity,Antiplatelet_0,Antiplatelet_1,Antiplatelet_NK,Anticoag before stroke_0,Anticoag before stroke_1,Anticoag before stroke_NK,Stroke severity group_1. No stroke symtpoms,Stroke severity group_2. Minor,Stroke severity group_3. Moderate,Stroke severity group_4. Moderate to severe,Stroke severity group_5. Severe,Stroke Type_I,Stroke Type_PIH,S2RankinBeforeStroke,S2NihssArrival,S2NihssArrivalLocQuestions,S2NihssArrivalLocCommands,S2NihssArrivalBestGaze,S2NihssArrivalVisual,S2NihssArrivalFacialPalsy,S2NihssArrivalMotorArmLeft,S2NihssArrivalMotorArmRight,S2NihssArrivalMotorLegLeft,S2NihssArrivalMotorLegRight,S2NihssArrivalLimbAtaxia,S2NihssArrivalSensory,S2NihssArrivalBestLanguage,S2NihssArrivalDysarthria,S2NihssArrivalExtinctionInattention
0,0.012875025447525161,0.008649839152298413,0.009276679293781459,0.010627282744611558,0.004791305347504486,0.00816428219453643,0.010560655625304756,0.01535703977523729,0.06957659496077366,0.010447946757562871,0.023657051314760487,0.0012062581243422335,0.023652704126617043,0.02000791334980206,0.008913107897154241,0.0030532522345773873,0.010929035391004042,0.006335136798009866,0.0069815147842388564,0.013159486167723167,0.007929987026974155,0.00522659662724519,0.004661302617062239,0.005184606147274898,0.00673427450695796,0.012459682096545176,0.005224247287922536,0.00452122774219049,0.0491895293484106,0.030581684039116642,0.004982066406181933,0.003744134703038161,0.060533074511364686,0.05702468688661973,0.04183537781779773,0.12265883358397403,0.017630456077995755,0.01261011267464224,0.015802449683606324,0.02126798460510939,0.034744204529191275,0.021952590153154008,0.01963242990010854,0.023380991493907943,0.02187933586783922,0.014785106568886644,0.02119823321953666,0.029019034149070737,0.02142079973859689,0.023962848502312974
1,0.012273600188083872,0.008216178947054946,0.009400279172931429,0.010566569516321738,0.005023178995272468,0.008431767078740729,0.009906667509162161,0.01519772565481951,0.070022049026338,0.011084068483070255,0.021517796068856627,0.0011206838308839616,0.022205957188758688,0.019546712662647035,0.00887643799768925,0.0032594121302417945,0.011988488186549136,0.0062905744491091485,0.007557444177970027,0.012495187304884123,0.007962273939715853,0.00517959318168074,0.004064353609737501,0.005092391842865901,0.005991352414687317,0.011220937829953734,0.005000157207682136,0.0038950032170899608,0.04967262553069482,0.02950576072578981,0.005620133088119624,0.0037076968957321923,0.060818276641710925,0.05987319309088521,0.04194035789153262,0.12353777691968786,0.018926866975015992,0.012459527104707513,0.01496079519285348,0.021266424385315678,0.03592813072725896,0.022073194151793648,0.02014069293767754,0.023407695073069754,0.02255233467001357,0.01403799465555593,0.020754639004123117,0.030890570983687228,0.021494474135485143,0.023043997406491278
2,0.012303353540964096,0.00876017278559962,0.009026492726764404,0.008863084271349023,0.00435023312033364,0.007286105630839673,0.010346685360442844,0.01498725507102073,0.06954142826484129,0.011177280564039303,0.02356227241484207,0.0010427993394243895,0.02471196752694361,0.01987113974839399,0.008728678460564162,0.002959091566505692,0.011017902158511136,0.006372264046320167,0.007449583817443676,0.01267882837241115,0.008061244010831964,0.005229142493485011,0.004895821898154793,0.005196747530974622,0.006079152477316251,0.010250599848743387,0.004993516946334622,0.004393900594643887,0.04983947010171009,0.030415113356216647,0.005097405993283694,0.003910842958902632,0.060759864577362904,0.06212937581103843,0.040366155132929155,0.12599519232976042,0.01805865598703153,0.01343730042105776,0.014738564134958011,0.020316445594688162,0.03366050502731805,0.02161619279376704,0.019510149627892395,0.022255851541781897,0.021602086214054492,0.014014798905316046,0.020176909270335257,0.029958771324014345,0.02198511235011738,0.02601849195842438
3,0.012014775225150858,0.008442972769223008,0.009710540280892632,0.008948088297578545,0.004578504926705046,0.006970837358128542,0.009949597477505106,0.014747467673330834,0.07043814424475485,0.010324894318101532,0.027303588231884685,0.0010316838931852012,0.026889994096635072,0.019802091163623834,0.008647252893488678,0.003149269201604933,0.010602020912167338,0.00528377694594677,0.007180138199423882,0.013130757697511793,0.007810468241571789,0.005220734140482458,0.003916897499806368,0.004767051804657591,0.006211025877932151,0.010618829560958472,0.004719519363455101,0.004703498768439686,0.05168369159498457,0.0325118986238145,0.005563844049781344,0.004118765679969083,0.05672416350633414,0.06019231432416164,0.038860278332199995,0.12741821880825052,0.01825936348430532,0.012937569219324641,0.014685330510085045,0.020532238007050563,0.03433993839002298,0.022371598073705208,0.020058385763563936,0.02255909613800911,0.02291371211984473,0.012756418473185137,0.020172743569891308,0.028584626188291683,0.022137033718231464,0.023504350360846287
4,0.011773362181253416,0.008032283344374311,0.009514175491003802,0.011671593719066937,0.004553525780363258,0.007733124293238692,0.009834527297757974,0.01560961193201709,0.06797617892189174,0.010710061244360431,0.025352275819336217,0.0011186828404329292,0.02598047716510507,0.01949066419691306,0.008800429148545855,0.00333208262714286,0.011154852714819882,0.0054356747031248705,0.006952287445228536,0.013102315472674363,0.007830400277289071,0.005771671333604531,0.004585689042314574,0.004949728114057491,0.006478593651152191,0.011152029581680236,0.004875245065764676,0.004359732295548393,0.052118609006454056,0.030381657510106578,0.005589344982747931,0.003765210858101871,0.05830014129271462,0.05955937724192725,0.03801821233956303,0.12573220698991347,0.017330507781964193,0.013127254414695474,0.014610339095540836,0.02061164433283243,0.03779352290600915,0.02205994676709911,0.020015803824239387,0.022309092562323156,0.021423751009986516,0.014567121418385611,0.0217070753677548,0.029887862198425253,0.02105782876043039,0.021902213638722308
5,0.011617241280085597,0.008386121336349299,0.009608648452764662,0.010285005073958766,0.004309156041215609,0.008129826302048363,0.010207016454752343,0.015353355437182638,0.06926719116250962,0.010049367823829293,0.025631853750575317,0.0010919962069183293,0.02672913069146744,0.01980622529680353,0.00857620558360312,0.0033234220094488717,0.01131368204851412,0.005943961806591222,0.006833405152567274,0.013706335991474989,0.008338957095479384,0.0050977325360961005,0.004329037616639712,0.00519154088680315,0.00541469577010381,0.011521544304865208,0.0046835273165817,0.004405131790041954,0.050753090743022644,0.029231695824139252,0.005156888175295251,0.003632498375503897,0.05751973082619646,0.05773263055711957,0.04029213259439486,0.12710886460133086,0.017435553126528613,0.012761126273362802,0.014532065303247466,0.020990983885656723,0.033383956543814076,0.022069200332586365,0.020191675799809433,0.022897348480364076,0.022168397000581524,0.015238837801925642,0.022177678792168764,0.03021285781233866,0.021693853783879228,0.023667618147462478
6,0.011513761438380826,0.008468424057387094,0.009403631862184462,0.010015974051656436,0.004497257133214308,0.007738038708014226,0.010376653944747878,0.015005719774094635,0.06965527052955903,0.01129500725513634,0.026777864343992548,0.0011714049388745007,0.02800223333641743,0.01943075315464623,0.00858732689411659,0.003306193178411153,0.011257265674448305,0.006245052797010753,0.006797230199263367,0.013083091058079454,0.007924633712686037,0.005543464523466436,0.004181991865753123,0.0052514791125283485,0.005940933647326684,0.011791013045438654,0.005095835390954124,0.004737812223628531,0.04951838971929596,0.033553466712920525,0.005773793138057715,0.00383786355074697,0.05529736869389428,0.06000661544873814,0.03722955413853557,0.1246081257809663,0.017399682262601544,0.013251462968084302,0.014478312315900684,0.020905240116244797,0.03259794067567799,0.022377192338922113,0.020149338388417305,0.022743117003752703,0.023143310841108943,0.014194656798259257,0.020507410338003407,0.030414443230128797,0.021534419790301126,0.023382977898024012
7,0.011391210455977957,0.00824625253021954,0.009698341118493655,0.010323558961409855,0.004254256943123411,0.007766006912717345,0.009973887990073671,0.015455742317483775,0.06982773585471005,0.011031757599266822,0.024992659288443065,0.0013660586421216753,0.025191066773356106,0.019891360795640196,0.00853338507049279,0.003219988392446128,0.01147341992035441,0.005478042448965162,0.007121905097553775,0.013825790481778342,0.007844089327986444,0.005232285206116586,0.0045164968376285525,0.004854826535321927,0.006612667573486648,0.01312435400615289,0.004897299996500833,0.004360722996288586,0.050943567686100505,0.030128381402696854,0.005147573826122007,0.003800998015661275,0.05798608012933066,0.05783833986772173,0.03857045846924349,0.12352097642094904,0.017812622782912964,0.01316351254688984,0.014396347351561704,0.020161957322846927,0.03403810277348827,0.0217862606016856,0.020108784578033983,0.02393937668043158,0.022575893701780352,0.014432650245345888,0.0214814211208625,0.030753045122133876,0.022420843830947754,0.024487635449143366
8,0.010415932596732918,0.00878766933494746,0.009339790375352295,0.009486051812513326,0.004504258883966252,0.007897298558607688,0.010549477650885866,0.014946214579058679,0.06825735079179066,0.010726691020330876,0.024100123668645276,0.0013237555596775693,0.025666951838947946,0.019741079158012244,0.008522248433484625,0.002954664206124793,0.01130363112115655,0.005421056201760628,0.006855589830713496,0.012293757246681455,0.007859756243742057,0.005236244044629099,0.004435751342405998,0.0049050285059093575,0.006198805734231473,0.010886022204911975,0.004740021292456195,0.004429440818766392,0.05020049846468646,0.03146980792555802,0.005442645949646554,0.0038661100164291114,0.058313887141433735,0.061457066512782224,0.04122255595500217,0.1291166337924254,0.01822757708548833,0.012114385485306193,0.0150151688204792,0.019611968279459307,0.0360678312378236,0.02163281296551955,0.018938403829335954,0.022544714098658408,0.02225841961698674,0.014464122724945242,0.020904570077616907,0.02971636579717095,0.022797921480590337,0.022831869686212217
9,0.012731538219274948,0.008207061396354727,0.008895080047451905,0.010365116168614926,0.004327815402636391,0.007930104342730069,0.009708393570857978,0.015224944697950925,0.06852882555313472,0.010689727761627962,0.024420525069269595,0.0012489828660212684,0.02529951860972396,0.020832366628054703,0.008892945980300661,0.002921160101594952,0.011211761478131028,0.006389826453766076,0.0072576261546603675,0.014222646963002218,0.007934716115925616,0.005387734810046616,0.004476303669054439,0.005462925156961816,0.006094240821596505,0.010585172762417548,0.005132125232465328,0.004744598582537361,0.05029686011561487,0.0303420570880829,0.0056041413518281,0.003745841246200007,0.058865858900201455,0.061479950621368705,0.039317857932651634,0.12712151887855697,0.017153691191948883,0.012899601629873116,0.01485216827987458,0.020702643148450876,0.03395149937564027,0.022200875048711988,0.01991986241831675,0.022994619524322496,0.0216313677937779,0.01386139927047364,0.02201103058605076,0.027958431636074605,0.021312702317462406,0.022652237028352607
